Timestamp,ElapsedSeconds,CpuPercent,WorkingSetBytes,PrivateMemoryBytes,HandleCount,ThreadCount
2026-08-16T17:24:01.3839783+09:00,60.015,0.438260,151040000,76324864,811,29
2026-08-16T17:25:01.3835293+09:00,120.014,0.097657,148660224,72458240,810,28
2026-08-16T17:26:01.3836489+09:00,180.014,0.108507,147746816,72134656,787,20
2026-08-16T17:27:01.3750085+09:00,240.006,0.340761,147591168,72851456,776,18
2026-08-16T17:28:01.3831087+09:00,300.014,0.203966,147574784,72761344,774,16
2026-08-16T17:29:01.3816479+09:00,360.012,0.243061,147582976,72761344,774,16
2026-08-16T17:30:01.3829526+09:00,420.014,0.256071,147660800,72896512,782,19
2026-08-16T17:31:01.3786493+09:00,480.009,0.201837,147660800,72896512,782,19
2026-08-16T17:32:01.3700278+09:00,540.001,0.206193,147599360,72761344,774,16
2026-08-16T17:33:01.3766110+09:00,600.007,0.210480,147677184,72880128,780,18
2026-08-16T17:34:01.3755974+09:00,660.006,0.253911,147664896,72839168,777,17
2026-08-16T17:35:01.3706133+09:00,720.001,0.423212,147611648,72761344,772,16
2026-08-16T17:36:01.3748358+09:00,780.006,0.175769,147611648,72761344,772,16
2026-08-16T17:37:01.3723804+09:00,840.003,0.301662,147611648,72761344,772,16
2026-08-16T17:38:01.3787798+09:00,900.010,0.160573,147673088,72753152,772,16
2026-08-16T17:39:01.3703842+09:00,960.001,0.204022,125108224,72761344,772,16
2026-08-16T17:40:01.3797840+09:00,1020.011,0.121509,125108224,72761344,772,16
2026-08-16T17:41:01.3805171+09:00,1080.011,0.297305,125108224,72761344,772,16
2026-08-16T17:42:01.3832066+09:00,1140.014,0.210494,125005824,72761344,772,16
2026-08-16T17:43:01.3823111+09:00,1200.013,0.199656,125067264,72761344,772,16
2026-08-16T17:44:01.3793170+09:00,1260.010,0.190982,123146240,72761344,772,16
2026-08-16T17:45:01.3793434+09:00,1320.010,0.288628,123502592,72736768,770,16
2026-08-16T17:46:01.3707154+09:00,1380.002,0.149761,123527168,72736768,770,16
2026-08-16T17:47:01.3755198+09:00,1440.006,0.169257,123527168,72736768,770,16
2026-08-16T17:48:01.3839236+09:00,1500.015,0.195285,123531264,72736768,770,16
2026-08-16T17:49:01.3839692+09:00,1560.015,0.540364,123412480,72736768,770,16
2026-08-16T17:50:01.3839230+09:00,1620.015,0.199653,123412480,72736768,770,16
2026-08-16T17:51:01.3728817+09:00,1680.004,0.258294,123412480,72736768,770,16
2026-08-16T17:52:01.3818571+09:00,1740.013,0.197453,123412480,72736768,770,16
2026-08-16T17:53:01.3729705+09:00,1800.004,0.221387,123506688,72728576,770,16
2026-08-16T17:54:01.3741272+09:00,1860.005,0.193139,123596800,72736768,770,16
2026-08-16T17:55:01.3777737+09:00,1920.009,0.182281,123596800,72736768,770,16
2026-08-16T17:56:01.3749187+09:00,1980.006,0.212684,123596800,72736768,770,16
2026-08-16T17:57:01.3717454+09:00,2040.003,0.210515,123621376,72736768,770,16
2026-08-16T17:58:01.3845503+09:00,2100.015,0.253852,124313600,72736768,681,16
2026-08-16T17:59:01.3745956+09:00,2160.005,0.312552,124362752,72785920,684,17
2026-08-16T18:00:01.3732900+09:00,2220.004,0.197487,124334080,72736768,681,16
2026-08-16T18:01:01.3838965+09:00,2280.015,0.232164,124362752,72736768,681,16
2026-08-16T18:02:01.3791637+09:00,2340.010,0.145411,124362752,72736768,681,16
2026-08-16T18:03:01.3840507+09:00,2400.015,0.303795,124362752,72736768,681,16
2026-08-16T18:04:01.3718163+09:00,2460.003,0.312564,124362752,72736768,681,16
2026-08-16T18:05:01.3725092+09:00,2520.003,0.308156,124362752,72736768,681,16
2026-08-16T18:06:01.3739772+09:00,2580.005,0.188797,124383232,72736768,681,16
2026-08-16T18:07:01.3805323+09:00,2640.011,0.234349,125870080,72327168,681,16
2026-08-16T18:08:01.3806530+09:00,2700.011,0.355902,125886464,72339456,681,16
2026-08-16T18:09:01.3767282+09:00,2760.008,0.204006,125886464,72347648,681,16
2026-08-16T18:10:01.3787262+09:00,2820.010,0.193136,125886464,72347648,681,16
2026-08-16T18:11:01.3703987+09:00,2880.001,0.329907,125894656,72347648,681,16
2026-08-16T18:12:01.3729207+09:00,2940.004,0.188794,125894656,72347648,681,16
2026-08-16T18:13:01.3824772+09:00,3000.013,0.221319,125894656,72347648,681,16
2026-08-16T18:14:01.3738136+09:00,3060.005,0.403704,125943808,72437760,687,18
2026-08-16T18:15:01.3845384+09:00,3120.015,0.216975,125898752,72343552,681,16
2026-08-16T18:16:01.3845240+09:00,3180.015,0.390625,125898752,72343552,681,16
2026-08-16T18:17:01.3816379+09:00,3240.012,0.269110,125898752,72343552,681,16
2026-08-16T18:18:01.3710534+09:00,3300.002,0.410229,125898752,72343552,681,16
2026-08-16T18:19:01.3844602+09:00,3360.015,0.216965,125898752,72343552,681,16
2026-08-16T18:20:01.3703956+09:00,3420.001,0.277843,125898752,72343552,681,16
2026-08-16T18:21:01.3797439+09:00,3480.011,0.141037,125984768,72032256,681,16
2026-08-16T18:22:01.3742608+09:00,3540.005,0.319040,126021632,72347648,681,16
2026-08-16T18:23:01.3834948+09:00,3600.014,0.236509,125997056,72065024,681,16
2026-08-16T18:24:01.3847683+09:00,3660.016,0.217009,126017536,72065024,681,16
2026-08-16T18:25:01.3781223+09:00,3720.009,0.386328,126005248,72052736,681,16
2026-08-16T18:26:01.3736202+09:00,3780.004,0.136729,125992960,72323072,681,16
2026-08-16T18:27:01.3818000+09:00,3840.013,0.208305,126058496,72359936,681,16
2026-08-16T18:28:01.3731844+09:00,3900.004,0.236579,126042112,72335360,681,16
2026-08-16T18:29:01.3793892+09:00,3960.010,0.460022,126087168,72359936,681,16
2026-08-16T18:30:01.3728922+09:00,4020.004,0.236571,126087168,72359936,681,16
2026-08-16T18:31:01.3705976+09:00,4080.001,0.164937,126087168,72359936,681,16
2026-08-16T18:32:01.3816088+09:00,4140.012,0.321122,126087168,72359936,681,16
2026-08-16T18:33:01.3810493+09:00,4200.012,0.336375,126091264,72359936,681,16
2026-08-16T18:34:01.3753655+09:00,4260.006,0.238738,126070784,72355840,681,16
2026-08-16T18:35:01.3826117+09:00,4320.013,0.277744,126111744,72359936,681,16
2026-08-16T18:36:01.3797505+09:00,4380.011,0.223535,126111744,72359936,682,16
2026-08-16T18:37:01.3804191+09:00,4440.011,0.353729,126111744,72359936,682,16
2026-08-16T18:38:01.3816055+09:00,4500.012,0.394957,126111744,72359936,682,16
2026-08-16T18:39:01.3832301+09:00,4560.014,0.195307,122589184,72372224,682,16
2026-08-16T18:40:01.3749160+09:00,4620.006,0.546951,122626048,72400896,682,16
2026-08-16T18:41:01.3710641+09:00,4680.002,0.253923,122572800,72400896,682,16
2026-08-16T18:42:01.3721952+09:00,4740.003,0.479592,122601472,72400896,682,16
2026-08-16T18:43:01.3829897+09:00,4800.014,0.475175,122650624,72425472,682,16
2026-08-16T18:44:01.3778708+09:00,4860.009,0.197499,122597376,72118272,682,16
2026-08-16T18:45:01.3718960+09:00,4920.003,0.275635,122634240,72425472,682,16
2026-08-16T18:46:01.3739670+09:00,4980.005,0.101993,122675200,72425472,682,16
2026-08-16T18:47:01.3840628+09:00,5040.015,0.264712,122667008,72425472,682,16
2026-08-16T18:48:01.3798495+09:00,5100.011,0.292989,122712064,72425472,682,16
2026-08-16T18:49:01.3731743+09:00,5160.004,0.164949,122732544,72470528,685,17
2026-08-16T18:50:01.3791264+09:00,5220.010,0.210483,122859520,72429568,682,16
2026-08-16T18:51:01.3814098+09:00,5280.012,0.399290,122867712,72429568,682,16
2026-08-16T18:52:01.3745321+09:00,5340.005,0.349432,122867712,72429568,682,16
2026-08-16T18:53:01.3747024+09:00,5400.006,0.225694,122925056,72429568,682,16
2026-08-16T18:54:01.3752929+09:00,5460.006,0.243053,122925056,72192000,685,17
2026-08-16T18:55:01.3720482+09:00,5520.003,0.125875,130957312,75005952,682,18
2026-08-16T18:56:01.3838152+09:00,5580.015,0.375360,130965504,75014144,682,18
2026-08-16T18:57:01.3847426+09:00,5640.016,0.345047,130916352,74915840,682,16
2026-08-16T18:58:01.3774978+09:00,5700.008,0.277811,130887680,74596352,682,16
2026-08-16T18:59:01.3798083+09:00,5760.011,0.134543,130916352,74915840,682,16
2026-08-16T19:00:01.3739175+09:00,5820.005,0.123710,130916352,74915840,682,16
2026-08-16T19:01:01.3766181+09:00,5880.007,0.451369,130916352,74915840,682,16
2026-08-16T19:02:01.3740235+09:00,5940.005,0.247407,130916352,74915840,682,16
2026-08-16T19:03:01.3797850+09:00,6000.011,0.453515,130924544,74915840,682,16
2026-08-16T19:04:01.3709889+09:00,6060.002,0.145421,130928640,74915840,682,16
2026-08-16T19:05:01.3792233+09:00,6120.010,0.225663,130928640,74915840,682,16
2026-08-16T19:06:01.3802270+09:00,6180.011,0.392789,130891776,74915840,682,16
2026-08-16T19:07:01.3841503+09:00,6240.015,0.217000,130908160,74915840,682,16
