Iteration,ReadyMilliseconds,Result
1,939.094,READY
2,878.010,READY
3,862.459,READY
4,860.746,READY
5,818.572,READY
6,817.015,READY
7,836.811,READY
8,816.477,READY
9,820.615,READY
10,817.232,READY
