Iteration,ReadyMilliseconds,Result
1,63.541,READY
2,65.763,READY
3,66.677,READY
4,66.151,READY
5,65.334,READY
6,82.237,READY
7,81.364,READY
8,65.870,READY
9,64.662,READY
10,65.951,READY
